Title,Link,Score
"Mercury, the first commercial-scale diffusion language model (inceptionlabs.ai)",https://www.inceptionlabs.ai/introducing-mercury,78
Linux Kernel Exploitation: Attack of the Vsock (hoefler.dev),https://hoefler.dev/articles/vsock.html,103
Zhaoxin's KX-7000 (chipsandcheese.com),https://chipsandcheese.com/p/zhaoxins-kx-7000,54
Reversible computing with mechanical links and pivots (tennysontbardwell.com),https://tennysontbardwell.com/blog/2025/04/30/mechanical-computing/index.html,92
NotebookLM Audio Overviews are now available in over 50 languages (blog.google),https://blog.google/technology/google-labs/notebooklm-audio-overviews-50-languages/,204
Xiaomi MiMo Reasoning Model (github.com/xiaomimimo),https://github.com/XiaomiMiMo/MiMo,387
Google Play sees 47% decline in apps since start of last year (techcrunch.com),https://techcrunch.com/2025/04/29/google-play-sees-47-decline-in-apps-since-start-of-last-year/,206
Future of OSU Open Source Lab in Jeopardy (osuosl.org),https://osuosl.org/blog/osl-future/,95
I created Perfect Wiki and reached $250k in annual revenue without investors (habr.com),https://habr.com/en/articles/905812/,535
DeepSeek-Prover-V2 (github.com/deepseek-ai),https://github.com/deepseek-ai/DeepSeek-Prover-V2,271
Show HN: Create your own finetuned AI model using Google Sheets (promptrepo.com),https://promptrepo.com/finetune/,66
Someone at YouTube needs glasses (jayd.ml),https://jayd.ml/2025/04/30/someone-at-youtube-needs-glasses.html,909
Show HN: ART – a new open-source RL framework for training agents (github.com/openpipe),https://github.com/OpenPipe/ART,62
Sycophancy in GPT-4o (openai.com),https://openai.com/index/sycophancy-in-gpt-4o/,467
NYC home prices rise 10% in early 2025 (qns.com),https://qns.com/2025/04/home-prices-rise-early-2025-malba-highest-queens/,67
Home washing machines fail to remove important pathogens from textiles (medicalxpress.com),https://medicalxpress.com/news/2025-04-home-machines-important-pathogens-textiles.html,20
The best – but not good – way to limit string length (adam-p.ca),https://adam-p.ca/blog/2025/04/string-length/,10
"Archil (YC F24) Is Hiring a Distributed Systems Engineer (In-Person, SF)",item?id=43848007,0
You Wouldn't Download a Hacker News (jasonthorsness.com),https://www.jasonthorsness.com/25,353
Jepsen: Amazon RDS for PostgreSQL 17.4 (jepsen.io),https://jepsen.io/analyses/amazon-rds-for-postgresql-17.4,561
Joining Sun Microsystems – 40 years ago (2022) (akapugs.blog),https://akapugs.blog/2022/05/03/674/,157
The True Size Of (thetruesize.com),https://thetruesize.com/,206
Retailers will soon have only about 7 weeks of full inventories left (fortune.com),https://fortune.com/article/retailers-weeks-of-inventory-left-trump-china-trade-war/,395
The Leaderboard Illusion (arxiv.org),https://arxiv.org/abs/2504.20879,139
OCaml's Wings for Machine Learning (github.com/raven-ml),https://github.com/raven-ml/raven,98
New atomic fountain clock joins group that keeps the world on time (nist.gov),https://www.nist.gov/news-events/news/2025/04/new-atomic-fountain-clock-joins-elite-group-keeps-world-time,87
"What Is ""Induced Atmospheric Vibration""? (physics.stackexchange.com)",https://physics.stackexchange.com/questions/848666/what-is-induced-atmospheric-vibration,127
Show HN: Kexa.io – Open-Source IT Security and Compliance Verification,item?id=43844665,58
Port of Los Angeles says shipping volume will plummet 35% next week (cnbc.com),https://www.cnbc.com/2025/04/29/port-of-los-angeles-sees-shipping-volume-down-35percent-next-week-as-tariffs-bite.html,629
The Group Chat from Hell Has Been Exposed (thenation.com),https://www.thenation.com/article/society/marc-andreessen-semafor-group-chat-signal/,8
